step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
243,0.46,4.0046,+0.0001,1.9994,2.0052,0.0456,-0.3592,5.8149,16.9639
244,0.43,3.9890,-0.0008,1.9877,2.0013,0.0379,-0.0364,6.3130,17.6875
245,0.43,4.0006,-0.0000,2.0038,1.9968,0.0472,+0.2072,7.0089,19.2084
246,0.45,4.0148,-0.0020,2.0209,1.9939,0.0791,-0.0144,6.6042,20.1054
247,0.44,3.9755,-0.0003,1.9727,2.0028,0.0234,-0.1744,5.8588,19.2200
248,0.44,3.9796,-0.0001,1.9754,2.0043,0.0252,-0.3189,5.9988,18.1639
249,0.42,3.9725,-0.0045,1.9670,2.0055,0.0221,-0.0308,6.0348,17.6417
250,0.46,3.9961,-0.0051,1.9911,2.0050,0.0692,-0.1346,7.6377,19.8098
251,0.44,3.9974,+0.0003,1.9965,2.0009,0.0383,-0.1031,4.4278,16.6981
252,0.47,4.0037,-0.0013,2.0089,1.9948,0.0342,-0.0241,7.3434,21.5352
253,0.46,3.9548,-0.0006,1.9409,2.0139,0.0183,-0.0758,6.1837,17.9812
254,0.46,3.9945,+0.0011,1.9955,1.9989,0.0391,-0.1806,5.9289,18.7376
255,0.47,4.0023,+0.0015,2.0076,1.9947,0.0275,-0.0579,6.0723,19.1262
256,0.46,4.0044,-0.0044,2.0001,2.0044,0.0299,-0.1828,5.4940,18.3253
257,0.44,3.9862,-0.0003,1.9818,2.0043,0.0299,-0.0256,4.6878,17.9181
258,0.43,3.9553,+0.0029,1.9415,2.0138,0.0178,-0.0216,5.3934,18.1488
259,0.45,3.9890,+0.0036,1.9868,2.0022,0.0272,-0.1786,6.0303,19.5268
260,0.46,3.9642,+0.0072,1.9557,2.0085,0.0153,-0.3104,6.2560,17.9627
261,0.44,3.9685,-0.0027,1.9568,2.0117,0.0211,-0.3801,6.2559,16.9355
262,0.45,3.9841,-0.0031,1.9863,1.9978,0.0499,-0.1271,5.5893,17.5056
263,0.44,3.9635,-0.0018,1.9523,2.0111,0.0169,-0.0475,4.8935,17.7442
264,0.47,3.9757,+0.0022,1.9740,2.0018,0.0229,-0.1699,6.0340,19.5545
265,0.46,3.9872,+0.0063,1.9819,2.0053,0.0273,-0.2866,6.0679,20.2309
266,0.46,3.9942,+0.0040,1.9875,2.0067,0.0284,-0.3780,6.3071,19.2150
267,0.43,3.9766,+0.0011,1.9675,2.0090,0.0237,-0.1694,5.3076,17.5392
268,0.48,4.0078,+0.0005,2.0074,2.0005,0.0484,-0.0069,5.4434,19.0547
269,0.45,3.9884,-0.0043,1.9882,2.0001,0.0434,-0.0682,5.5630,19.3227
270,0.44,4.0005,+0.0008,2.0100,1.9905,0.0539,-0.1660,5.8637,19.1912
271,0.43,3.9747,-0.0018,1.9647,2.0100,0.0176,-0.2058,5.1154,18.2507
272,0.43,3.9778,-0.0006,1.9693,2.0085,0.0241,-0.0477,5.2730,18.5179
273,0.44,3.9670,-0.0025,1.9584,2.0087,0.0196,-0.0025,5.3898,16.7799
274,0.45,3.9978,+0.0040,1.9924,2.0054,0.0354,-0.2492,5.5811,18.5766
275,0.44,3.9967,+0.0002,1.9909,2.0058,0.0310,-0.1373,5.6101,20.4808
276,0.43,4.0080,-0.0004,2.0076,2.0004,0.0408,+0.0814,5.8459,18.8977
277,0.46,3.9881,+0.0034,1.9858,2.0023,0.0323,-0.2241,6.5425,18.3832
278,0.44,3.9912,-0.0009,1.9858,2.0054,0.0343,-0.0325,5.8600,18.6959
279,0.44,3.9976,-0.0010,1.9913,2.0062,0.0337,-0.0470,6.1506,19.6100
280,0.44,3.9828,-0.0033,1.9803,2.0026,0.0235,-0.0655,5.8744,18.2877
281,0.45,4.0022,-0.0036,2.0047,1.9975,0.0428,+0.0001,6.6132,20.1325
282,0.45,3.9807,+0.0029,1.9766,2.0042,0.0237,-0.0392,5.7480,19.7077
283,0.44,3.9652,+0.0013,1.9501,2.0152,0.0212,-0.2575,5.6474,17.1212
284,0.47,3.9691,+0.0011,1.9669,2.0022,0.0192,-0.1624,5.1874,18.8464
285,0.44,3.9732,+0.0056,1.9679,2.0053,0.0250,-0.3466,4.5859,17.3870
286,0.44,3.9792,-0.0091,1.9797,1.9995,0.0298,-0.2689,5.4922,18.3325
287,0.47,3.9580,+0.0032,1.9487,2.0093,0.0189,-0.0070,5.4444,17.1826
